Account group,City,Country,Data line,District,Fax,House number and street,Language,Name 1,Name 2,Name 3,Name 4,Other city,PO Box,PO Box postal code,Postal Code,Region,Search Term 1,Search Term 2,Tax jurisdiction,Telebox,Telephone,Title,Transportation zone,Vendor,Quantity of Milk Purchased (L),Production Volume (L),Inventory Level (kg),Number of Suppliers,Production Efficiency (%),Delivery Time (days),Demand Forecast Accuracy (%),Wastage Rate (%),Supplier Performance Score,Distribution Costs (currency)
7994,South Jessica,Sierra Leone,9,Texas,(763)378-1343x53761,454 Ramirez Haven,English,Tammy,,Fernando,Lawson,East Melissamouth,7821,88695,3831,Georgia,piece,rest,5291,8971,001-377-049-7740x1706,Mr.,10,"Diaz, Miller and Fitzgerald",5506,9012,1914,9,93.25648185,,92.30448919,1.347755331,,1119.188878
5086,Leebury,Bosnia and Herzegovina,4,Texas,,,,Sherry,Taylor,Sarah,Lee,,5619,74585,3313,Missouri,often,more,3765,7572,,Dr.,6,Duncan-Young,5632,16517,4520,19,81.28123568,1.933695225,76.61386564,4.16499098,83.59158357,
6806,Gibbsburgh,Svalbard & Jan Mayen Islands,9,Texas,,,English,Edward,Maynard,Joseph,,New Madisonfurt,9266,12818,5882,Alabama,admit,,,,(611)402-4240,Mrs.,2,Charles Group,5891,18721,3404,20,95.5746907,2.786189572,82.10853464,2.329759823,90.5149071,2508.840217
9173,Angelachester,Macao,6,Texas,,01740 Wilkinson Freeway Apt. 071,German,Glen,King,Kevin,Davis,Lake Jessica,1472,,7067,Texas,,second,1431,2960,001-819-291-9667x610,Dr.,3,Edwards-Johnson,6692,16625,,14,,,87.7952276,,85.5080009,4174.785535
5585,Stephanieburgh,Seychelles,9,Texas,480-765-0449x590,01161 Jenny Courts,,Rachel,Jones,John,King,Kingmouth,4701,46329,3528,Louisiana,option,cause,3798,6778,935.170.6930x738,Mr.,4,Webb PLC,,17670,3203,5,,1.8431259,85.7378621,,87.41620732,4342.660311
2561,North Sarahburgh,Mexico,10,Texas,,654 Joseph Manors Apt. 550,,Tyrone,Collins,,,Reneestad,7486,25846,8845,Michigan,believe,building,5724,4484,757.136.7379,Mr.,,"Williams, Gaines and King",,10841,3904,,88.23967468,1.449963535,87.99409909,1.592214826,73.98417207,
9496,Chadland,Saint Martin,7,Texas,2080669696,,,Johnathan,,Bailey,Nelson,,,48544,3884,Montana,,four,1097,9820,(580)935-7033,Dr.,1,Lowe-Garcia,3993,18257,,11,84.6683345,4.609093156,,3.507349518,84.97685823,4473.447968
3955,West Robertmouth,,2,Texas,001-288-268-1971x2052,6079 Christopher Knoll Suite 296,Spanish,Dale,,Shane,Brown,Jamiestad,8708,80656,3454,,sense,final,4658,6414,420933966,,8,,6452,19285,1916,7,91.59175773,2.50804129,87.93606835,3.944009952,75.26602019,3568.408811
4587,Jillfurt,Antigua and Barbuda,,Texas,,422 Sanchez Pass Suite 391,,Alan,Gonzalez,Daniel,Clarke,,8636,,5128,Alabama,,one,9201,7937,(784)326-2726x4303,Dr.,5,Bowen-Taylor,3418,11169,4892,18,92.23001478,1.672891674,71.40828771,2.422335415,78.9550302,
4704,South Rogerburgh,Niger,,Texas,,49157 Jacob Squares Suite 149,English,Elizabeth,Drake,,Roberts,,1243,57279,9753,,,too,4059,3207,914-939-8513x1211,Mrs.,4,Carpenter-Davis,,13707,,,81.18726847,,79.07048712,2.334069394,,4475.421482
7059,Port Stevenland,Australia,,Texas,,47077 Rodriguez Squares Apt. 328,Spanish,Brenda,Pittman,,Morris,Juliebury,7708,,4692,Maine,,,1445,3736,194.602.6433,Mr.,,Morgan-Smith,3587,14996,3713,10,,,81.84437995,3.380918586,,3905.873158
8194,North Joseph,Congo,7,Texas,494-981-2638x58323,46166 Kyle Streets Apt. 685,Spanish,,Watts,,Stewart,Mollyhaven,,63953,6260,Colorado,himself,technology,,9727,(017)308-7525,Mr.,5,Frazier-Avery,8180,9895,4367,,89.74267065,3.440142794,73.84191518,,90.1700103,3880.027275
,Katherineshire,Nigeria,5,Texas,,812 Henry Stream,French,Kelly,,Thomas,,West Patriciaburgh,1502,45403,6602,,coach,hotel,9559,4823,487-778-4329x7899,,7,"Maynard, Hughes and Weber",7027,14990,,16,82.41067342,1.231780174,77.78069638,1.28365075,64.92694583,3103.845675
1331,Jamieland,,2,Texas,-7832,,English,,Bailey,Allen,Boyd,,6476,83467,6212,Idaho,detail,type,3118,6750,-680,,1,"Smith, Lewis and Lewis",1361,15211,4412,,,1.295412189,94.96776987,1.451784807,95.84238909,4976.884118
5079,Port Amandachester,,4,Texas,-4371,,German,,Price,Cassandra,Rodriguez,West Walterside,,27840,1035,Virginia,your,,9041,8921,734-662-2485x954,Mrs.,4,,4733,14460,1069,,94.9878857,3.73503252,78.50951619,1.380798659,63.39937524,
7055,Harrisburgh,Spain,4,Texas,,891 Casey Spurs Suite 877,English,Cassandra,Jones,Cynthia,Matthews,Jillborough,,83006,3745,Michigan,,apply,8883,1422,001-647-147-3234x658,Dr.,10,Berg-Walker,9537,14367,4146,,82.18372547,1.476443809,,1.09257062,98.19779898,4401.578906
4856,Josephberg,,1,Texas,329.870.2388x34870,32651 Michelle Drives Suite 839,English,Geoffrey,,Alison,Mack,South Michaelberg,4410,,3110,New Hampshire,,,5109,5538,448.899.3104,Mrs.,10,Weiss-Thompson,8712,17311,1840,,83.67830598,3.718949253,74.22899904,3.060149035,,4391.269013
