,Account group,City,Country,Data line,District,Fax,House number and street,Language,Name 1,Name 2,Name 3,Name 4,Other city,PO Box,PO Box postal code,Postal Code,Region,Search Term 1,Search Term 2,Tax jurisdiction,Telebox,Telephone,Title,Transportation zone,Vendor,Quantity of Milk Purchased (L),Production Volume (L),Inventory Level (kg),Number of Suppliers,Production Efficiency (%),Delivery Time (days),Demand Forecast Accuracy (%),Wastage Rate (%),Supplier Performance Score,Distribution Costs (currency)
0,7994.0,South Jessica,Sierra Leone,9.0,Texas,(763)378-1343x53761,454 Ramirez Haven,English,Tammy,,Fernando,Lawson,East Melissamouth,7821.0,88695.0,3831.0,Georgia,piece,rest,5291.0,8971.0,001-377-049-7740x1706,Mr.,10.0,"Diaz, Miller and Fitzgerald",5506.0,9012.0,1914.0,9.0,93.25648185495223,,92.30448919262113,1.3477553305176646,,1119.1888777522813
1,2229.0,North Chad,Guam,7.0,Georgia,(959)473-4922x71862,1952 Williams Union Suite 763,,,Park,Patricia,Thompson,Lake Russellberg,9399.0,,6733.0,Maine,put,hospital,2025.0,6593.0,810-764-3053,Mr.,4.0,Casey and Sons,9279.0,14863.0,1108.0,11.0,92.88835303260326,3.8052998943609437,80.48799552404147,2.7968361851354144,71.12762832922651,4477.201283171736
2,6524.0,East Johnmouth,,7.0,,305.096.4389,,French,Rachael,Cole,William,Mueller,,4959.0,58432.0,5138.0,Nevada,two,discuss,,9817.0,052.802.1970,Dr.,,Cruz-Miller,,10574.0,2138.0,,,4.053976516026095,72.55525691299621,2.5197092025493495,74.35917521938514,2375.8228899158844
3,4741.0,Juliaborough,Syrian Arab Republic,3.0,,(831)425-5396,47990 Simon Alley Suite 978,German,,,Melvin,,Andersontown,8227.0,55192.0,7697.0,,total,green,7862.0,2053.0,(442)137-0458x8011,Mr.,1.0,Blankenship LLC,8527.0,13785.0,1511.0,17.0,81.41840356541225,,85.71599498736109,,74.46540104667906,1769.1543610266394
4,6869.0,Lake Ginaland,Micronesia,1.0,New York,409.483.5258,98077 Burns Turnpike Apt. 867,English,Barbara,Stevens,Adrian,Osborn,,,17149.0,1377.0,South Carolina,always,,6204.0,3000.0,+1-491-909-5402x44602,Mr.,5.0,"Wilson, Davis and Tanner",4733.0,17665.0,2185.0,7.0,95.39571897827264,4.465934667021079,,2.813641209473742,,
5,4698.0,Jaclynberg,Jamaica,2.0,North Dakota,+1-597-043-2983,27521 Heather Falls,German,Devin,Moody,Maria,Delgado,Melissaport,2331.0,57377.0,6444.0,,hour,exist,,2774.0,,Mr.,9.0,"Armstrong, Sharp and Smith",5374.0,16498.0,,7.0,,1.684554592792388,88.22816994875873,1.6536099750477136,,4958.093402546381
6,4219.0,Lake Shannon,Qatar,8.0,Alabama,089-101-3480x071,342 Jessica Prairie Suite 969,French,Mark,,,Knapp,Jacksonchester,1827.0,90788.0,7761.0,South Dakota,son,,5406.0,7694.0,729-694-6793x51078,Dr.,5.0,Brown-Wilson,6313.0,18809.0,,,84.12286529535388,1.128400975616151,77.88632620147705,2.070963503902811,68.43931374345306,4771.638857340218
7,5335.0,Claudiabury,Samoa,3.0,South Dakota,984-373-3511,175 Norris Ferry,,Patricia,Warren,Danielle,Marshall,Youngchester,5518.0,59136.0,8502.0,,,hand,5078.0,6040.0,478.715.6874x5358,Mr.,10.0,Thomas Ltd,9179.0,11482.0,4623.0,,82.57168862795713,1.5585212781020252,88.62472455229016,3.1559091586691617,89.88055246609031,2713.735309178319
8,,Tracyberg,Nauru,,,893.587.7051x093,290 Miller Points,Spanish,Sarah,Herring,Christine,Thomas,Wrightshire,,54845.0,2594.0,Louisiana,open,then,1168.0,,,Mrs.,1.0,"Williams, Kelley and Collins",4593.0,7266.0,3087.0,20.0,81.63636941912829,1.1884655016989383,,3.50978416681236,91.68317457451856,
9,3605.0,New Angela,Martinique,6.0,Utah,(587)235-8182x2659,119 Johnson Motorway Apt. 876,English,Tracy,,Joseph,Torres,Schneiderton,1237.0,32479.0,4294.0,South Carolina,,,,1660.0,702.957.6067x93840,Mrs.,6.0,"Castaneda, Soto and Moore",7252.0,14763.0,2917.0,13.0,97.47941079704512,4.443118808937992,70.2870255485705,3.8828872774407786,87.26841476106299,
